loan_id,borrower_id,borrower_name,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-1065,BW-565,Emily Hill,CONVENTIONAL,2023-11-25,2053-11-25,634000,629843,7.72,360,MN,PURCHASE,A,2 years,$100k-$150k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1066,BW-566,Karen Anderson,CONVENTIONAL,2023-10-10,2053-10-10,556000,548968,4.82,360,VA,PURCHASE,C,7 years,$100k-$150k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1067,BW-567,Joshua Thomas,CONVENTIONAL,2022-05-19,2052-05-19,499000,485262,6.23,360,NJ,PURCHASE,C,2 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1068,BW-568,Betty Lopez,VA,2022-03-02,2052-03-02,494000,474973,4.76,360,TN,PURCHASE,D,4 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1069,BW-569,Jessica King,JUMBO,2023-07-09,2053-07-09,520000,513956,6.73,360,SC,PURCHASE,A,11 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1070,BW-570,Susan Smith,CONVENTIONAL,2022-12-26,2052-12-26,587000,632000,5.22,360,NC,PURCHASE,A,10 years,$150k+,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1071,BW-571,William Miller,CONVENTIONAL,2021-08-23,2051-08-23,471000,451863,5.79,360,NJ,PURCHASE,C,10 years,$100k-$150k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1072,BW-572,Charles Young,JUMBO,2021-09-06,2051-09-06,379000,364961,6.14,360,FL,PURCHASE,D,6 years,$100k-$150k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1073,BW-573,Robert Scott,USDA,2022-04-12,2052-04-12,503000,489115,6.43,360,GA,PURCHASE,A,2 years,$150k+,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1074,BW-574,Karen Johnson,JUMBO,2022-12-22,2052-12-22,510000,501407,7.15,360,AZ,PURCHASE,C,11 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1075,BW-575,Andrew Miller,CONVENTIONAL,2023-02-27,2053-02-27,445000,436014,5.58,360,PA,PURCHASE,C,10 years,$75k-$100k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1076,BW-576,Paul Jackson,VA,2021-07-09,2051-07-09,230000,220881,6.1,360,OR,PURCHASE,B,8 years,$100k-$150k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1077,BW-577,Thomas Lopez,VA,2021-05-15,2051-05-15,386000,373782,7.67,360,GA,PURCHASE,C,3 years,$50k-$75k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1078,BW-578,Andrew Johnson,FHA,2022-07-03,2052-07-03,522000,508594,6.16,360,TX,PURCHASE,B,12 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1079,BW-579,Sarah Brown,VA,2023-03-20,2053-03-20,202000,197500,4.7,360,IL,PURCHASE,B,7 years,$75k-$100k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1080,BW-580,Kimberly Sanchez,USDA,2021-12-12,2051-12-12,571000,545486,650,360,TN,PURCHASE,D,7 years,$150k+,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1081,BW-581,Sandra Lewis,JUMBO,2021-03-28,2051-03-28,232000,224356,7.76,360,MD,PURCHASE,D,5 years,$100k-$150k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1082,BW-582,John Wright,CONVENTIONAL,2023-09-15,2053-09-15,253000,249808,5.37,360,LA,PURCHASE,B,12 years,$150k+,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1083,BW-583,Joshua Rodriguez,JUMBO,2021-08-07,2051-08-07,489000,471606,6.54,360,FL,PURCHASE,C,11 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1084,BW-584,Donald Rodriguez,FHA,2023-08-09,2053-08-09,495000,490707,7.81,360,NC,PURCHASE,B,2 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1085,BW-585,Elizabeth Harris,VA,2023-09-20,2053-09-20,260000,257292,6.4,360,MN,PURCHASE,C,2 years,$50k-$75k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1086,BW-586,Barbara Lee,JUMBO,2022-02-20,2052-02-20,548000,527861,5.24,360,WI,PURCHASE,B,9 years,$100k-$150k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1087,BW-587,Anthony Martinez,FHA,2021-02-03,2051-02-03,230000,218270,5.45,360,AZ,PURCHASE,D,4 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1088,BW-588,Lisa Thompson,FHA,2023-11-12,2053-11-12,245000,242146,4.68,360,VA,PURCHASE,D,7 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1089,BW-589,Nancy Lewis,VA,2022-07-21,2052-07-21,634000,619925,6.95,360,NV,PURCHASE,A,11 years,$100k-$150k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1090,BW-590,Emily Rodriguez,JUMBO,2023-10-20,2053-10-20,534000,529752,7.29,360,WI,PURCHASE,C,7 years,$50k-$75k,CURRENT,45,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1091,BW-591,Sandra Gonzalez,USDA,2022-04-11,2052-04-11,337000,327526,6.33,360,CT,PURCHASE,D,5 years,$50k-$75k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1092,BW-592,Matthew Walker,USDA,2021-02-04,2051-02-04,381000,359035,4.72,360,UT,PURCHASE,B,4 years,$75k-$100k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1093,BW-593,Emily Thomas,FHA,2021-05-16,2051-05-16,488000,467536,6.11,360,OK,PURCHASE,D,8 years,$100k-$150k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1094,BW-594,John Lewis,USDA,2021-08-06,2051-08-06,175000,168207,6.05,360,NY,PURCHASE,A,8 years,$75k-$100k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1095,BW-595,Barbara Hill,VA,2023-10-02,2053-10-02,296000,292270,4.84,360,MD,PURCHASE,C,8 years,$100k-$150k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1096,BW-596,Susan Lewis,FHA,2022-12-28,2052-12-28,186000,182235,6.17,360,WA,PURCHASE,C,5 years,$100k-$150k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1097,BW-597,Lisa Taylor,JUMBO,2022-10-01,2052-10-01,153000,149953,6.8,360,MO,PURCHASE,D,12 years,$100k-$150k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1098,BW-598,Donna Anderson,CONVENTIONAL,2023-11-05,2053-11-05,164000,162492,5.97,360,MN,PURCHASE,C,10 years,$100k-$150k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1099,BW-599,Donald Jackson,JUMBO,2021-06-12,2051-06-12,176000,166832,4.68,360,NV,PURCHASE,C,12 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1100,BW-600,Daniel Taylor,CONVENTIONAL,2022-05-09,2052-05-09,371000,358178,4.95,360,TN,PURCHASE,D,11 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,MISSING_NOTE,ORIGINATION_LOS
LN-1101,BW-601,Patricia Thomas,CONVENTIONAL,2022-09-02,2052-09-02,177000,173171,6.61,360,MN,PURCHASE,A,4 years,$75k-$100k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1102,BW-602,Barbara Jones,CONVENTIONAL,2023-03-10,2053-03-10,307000,301243,5.66,360,PA,PURCHASE,A,7 years,$100k-$150k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1103,BW-603,Susan Moore,JUMBO,2021-11-04,2051-11-04,222000,214809,6.53,360,MD,PURCHASE,A,4 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1104,BW-604,Joshua Ramirez,VA,2022-04-15,2052-04-15,591000,569217,4.8,360,NV,PURCHASE,D,10 years,$150k+,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1105,BW-605,Robert Perez,FHA,2022-06-25,2052-06-25,579000,564050,6.36,360,FL,PURCHASE,C,11 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1106,BW-606,Daniel White,JUMBO,2022-05-25,2052-05-25,441000,427738,5.74,360,NY,PURCHASE,A,10 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1107,BW-607,Emily Hernandez,USDA,2023-01-10,2053-01-10,558000,548610,6.87,360,LA,PURCHASE,C,11 years,$50k-$75k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1108,BW-608,Matthew Robinson,CONVENTIONAL,2021-03-10,2051-03-10,445000,419840,4.68,360,WA,PURCHASE,B,8 years,$150k+,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
